region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Київська,2020-05-10,1.0194878558182165,1.01399186263162,0.7930909752970893,1.2155127132573444,0.9501295694728235,1.0862587484597512
Київська,2020-05-11,1.0176885531790003,1.0118445135414365,0.8268811596278226,1.235981928570857,0.9585575225333379,1.09110855441709
Київська,2020-05-12,1.0167012635781942,1.010585457605294,0.82889402641205,1.2385610747078644,0.9506629018212699,1.0839473294835507
Київська,2020-05-13,1.014651234774329,1.0117312846258983,0.7925721731010251,1.218130444903695,0.9555644111527645,1.09092015521208
Київська,2020-05-14,1.0117518625200879,1.008687601937532,0.8115877983213677,1.2136577528078876,0.9392324502730285,1.0831496843672082
Київська,2020-05-15,1.0127095314596468,1.0068740122105932,0.8012179661062696,1.204692197427837,0.950529811689946,1.0858558859571603
Київська,2020-05-16,1.0090377074172703,1.0066815357456413,0.7738097887717466,1.2014763199642247,0.9296163088871552,1.0708739099809539
Київська,2020-05-17,1.0091454957149766,1.0087999282323872,0.7986504452742823,1.212727653010034,0.9337499619715328,1.0745631762212873
Київська,2020-05-18,1.0082837161353877,1.0093072104236525,0.7818496086478216,1.2151987070792318,0.9473845738406057,1.0897037657293638
Київська,2020-05-19,1.0080175891151135,1.009740942615442,0.7703553479347209,1.2141149050710909,0.941400471824951,1.0874976968587342
Київська,2020-05-20,1.0066600628314886,1.0058159385940586,0.7562000458645067,1.1914252366312401,0.9291467688539986,1.0736603185599145
Київська,2020-05-21,1.0038106252503627,1.0032561478630266,0.7788320238825459,1.220308095247652,0.9279341372471541,1.0759117398240832
Київська,2020-05-22,1.0024120617418517,1.002154612074066,0.7828899923184955,1.2427958013103535,0.928474087119337,1.0744985221212389
Київська,2020-05-23,1.0048144295166184,1.0040487533458256,0.7646008675865413,1.2164573020196918,0.9261373445714114,1.075368757424778
Київська,2020-05-24,1.003848545906433,1.0057764765033212,0.7557660976838306,1.1996743937963272,0.9279131405069801,1.0738228643703023
Київська,2020-05-25,1.002559821722105,1.0037599086911917,0.7679811357687133,1.2134052802228885,0.9359437034635033,1.0808195216679437
Київська,2020-05-26,1.0004411905532988,1.001739074652473,0.7443164127186042,1.1993163382511995,0.9291833049151036,1.0744895600722046
Київська,2020-05-27,1.0011806603789613,1.0036478046264645,0.7758641692338735,1.2220058707589092,0.931443134111356,1.0756543918051789
Київська,2020-05-28,1.0015518672776542,1.0035567953663977,0.7579973504684719,1.2205250196919544,0.9143873693280847,1.0611800702970144
Київська,2020-05-29,0.999389565341104,1.0001622482942627,0.7646294296982185,1.2203185205485574,0.9272384338213748,1.0736522472545948
Київська,2020-05-30,0.9960530189772377,0.9999023722993814,0.7657421039133161,1.2330598835493862,0.9172264883704375,1.0666289005455292
Київська,2020-05-31,0.9956284984453206,0.9975930866413902,0.7302830039290786,1.2145435215116565,0.9218691612999379,1.0732158729044838
Київська,2020-06-01,0.9920446379635804,0.999854053610783,0.7052366421148445,1.2361483816670862,0.927632013101998,1.0856177065749708
Київська,2020-06-02,0.9854480080541018,0.9977301632130129,0.7001949676645498,1.2379544629355697,0.9242807158018927,1.0803656900000638
Київська,2020-06-03,0.9817234238834892,0.9950570489647258,0.6808156650472817,1.235879486180706,0.9292023934670456,1.087026852054261
Київська,2020-06-04,0.981995964530736,0.995845181014113,0.6916781959937677,1.2575594999343518,0.9290949626372457,1.088713913778415
Київська,2020-06-05,0.9791740804203587,0.9939267160665552,0.6974685724906904,1.2776150868868137,0.9293663783047215,1.0901725816461127
Київська,2020-06-06,0.9764259802752364,0.9909972064448949,0.6732935503182794,1.258462073653333,0.9236099197456399,1.089080110610765
Київська,2020-06-07,0.9761679240039286,0.99131893802601,0.6949386095349647,1.285569202782377,0.9277053683272993,1.101376693743802
Київська,2020-06-08,0.9739698782733929,0.9886338443556301,0.6937515796933575,1.3106377075448272,0.9200880777698911,1.095578257422404
Київська,2020-06-09,0.9723759523312626,0.9881271083709263,0.6372402379657134,1.2386132131083027,0.9169527942045843,1.0942361255018713
Київська,2020-06-10,0.9733876168188101,0.9890244148703935,0.6393446926755476,1.2447796062265564,0.9095053294399276,1.0914643196615776
Київська,2020-06-11,0.9726373837890517,0.9878542860285671,0.6187467569453108,1.240762664482241,0.9152669072858897,1.103890664605068
Київська,2020-06-12,0.9721846396471044,0.9876628303514929,0.672771488280036,1.3123267838104713,0.9324967406211484,1.118648921946903
Київська,2020-06-13,0.9732045186899033,0.9876724284193018,0.6040866291654612,1.2653078880959574,0.9298537109709957,1.1211318411794635
Київська,2020-06-14,0.9739129673363942,0.986770647114839,0.6401750127358793,1.3178474566835268,0.9168249190670482,1.1094971627459513
Київська,2020-06-15,0.975638259774798,0.9929276359510987,0.6076367616554514,1.2810947702678246,0.9196736254325503,1.1113519280372202
Кіровоградська,2020-03-29,1.1113045435853512,1.0827369493061818,0.7553790885869472,1.46336609130628,0.908250833664488,1.1555408048194742
Кіровоградська,2020-03-30,1.1090535863502493,1.0793293173277716,0.693793627782133,1.4216069879772317,0.9060207323980828,1.1475549411356585
Кіровоградська,2020-03-31,1.1018112413285788,1.0703939094310302,0.749322886866178,1.4755343077142535,0.9392089060779083,1.176784999206551
Кіровоградська,2020-04-01,1.093841428972141,1.0680175445924858,0.7330280223381647,1.4507833299815707,0.9210673366565792,1.1539534326313945
Кіровоградська,2020-04-02,1.0867106336955505,1.0626150834296262,0.7492476380202027,1.4535290616491845,0.9196186063064602,1.1544505200521777
Кіровоградська,2020-04-03,1.0816703885970322,1.056939815730983,0.7091983915635734,1.4061189080441994,0.9058736035443659,1.1426933465864837
Кіровоградська,2020-04-04,1.075390171495226,1.0571236645229516,0.735554957951443,1.396801011375045,0.8980890150718429,1.138113518386937
Кіровоградська,2020-04-05,1.0661545888259418,1.0472632406106979,0.7273130856318373,1.3817208823065907,0.9292400437755275,1.1570968120107223
Кіровоградська,2020-04-06,1.0594785016086046,1.0413218651182534,0.7209505450684185,1.3802939902555618,0.9180119503057368,1.139153993212263
Кіровоградська,2020-04-07,1.0496490444834479,1.038848285044541,0.7310835465669422,1.3824152170713917,0.9042623391831152,1.1280820063598183
Кіровоградська,2020-04-08,1.0433023146638352,1.0298309103506207,0.6963935705169142,1.377457379930834,0.931747808450735,1.1565200469992465
Кіровоградська,2020-04-09,1.0340265825398294,1.024521624451115,0.7196235186271258,1.3648479437160126,0.9051854765275875,1.1290595761421292
Кіровоградська,2020-04-10,1.0246564858005511,1.0152522183656156,0.6828482168967882,1.3356996045739133,0.8959857630923096,1.123168178324984
Кіровоградська,2020-04-11,1.0209161947305212,1.014625279489966,0.7184512716028698,1.3777159038271554,0.8983864334895199,1.1194557650375214
Кіровоградська,2020-04-12,1.0144382183139526,1.0104417074109593,0.6830593078953753,1.3467290738026279,0.8891190891524139,1.1083750551230482
Кіровоградська,2020-04-13,1.0076250098963995,1.0063236864813416,0.6901671698031946,1.367833665089245,0.8841345835770847,1.10966785787632
Кіровоградська,2020-04-14,0.9990093485489161,0.9975487745365547,0.691781992284272,1.335178820314489,0.8880961102145942,1.1058138931981327
Кіровоградська,2020-04-15,0.9932339140628782,0.9928598087618432,0.6891298219679667,1.3504131968090203,0.8922891811320641,1.1088828904298342
Кіровоградська,2020-04-16,0.9868866388548924,0.992482999277654,0.7135989562053275,1.377659597096371,0.9016308191775214,1.1060327734535664
Кіровоградська,2020-04-17,0.981176290397324,0.986481549727485,0.6831341869223991,1.3373670413791454,0.8861731699067478,1.1050104923513038
